Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3527009;Interior;Lindóia;633;17;;;
3527108;Interior;Lins;8068;246;;;
3527207;Interior;Lorena;4320;109;;;
3527256;Interior;Lourdes;228;4;;;
3527306;Interior;Louveira;3523;76;;;
3527405;Interior;Lucélia;1326;45;;;
3527504;Interior;Lucianópolis;174;3;;;
3527603;Interior;Luís Antônio;1517;24;;;
3527702;Interior;Luiziânia;203;9;;;
3527801;Interior;Lupércio;236;5;;;
3527900;Interior;Lutécia;189;5;;;
3528007;Interior;Macatuba;2545;50;;;
3528106;Interior;Macaubal;580;13;;;
3528205;Interior;Macedônia;322;15;;;
3528304;Interior;Magda;200;5;;;
3528403;Interior;Mairinque;3427;49;;;
3528502;RMSP (exceto capital);Mairiporã;5984;191;;;
3528601;Interior;Manduri;694;13;;;
3528700;Interior;Marabá Paulista;87;3;;;
3528809;Interior;Maracaí;1716;36;;;
3528858;Interior;Marapoama;409;13;;;
3528908;Interior;Mariápolis;190;4;;;
3529005;Interior;Marília;24195;707;;;
3529104;Interior;Marinópolis;166;3;;;
3529203;Interior;Martinópolis;1128;61;;;
3529302;Interior;Matão;4374;148;;;
3529401;RMSP (exceto capital);Mauá;23738;1333;;;
3529500;Interior;Mendonça;743;28;;;
3529609;Interior;Meridiano;290;26;;;
3529658;Interior;Mesópolis;139;2;;;
3529708;Interior;Miguelópolis;971;67;;;
3529807;Interior;Mineiros do Tietê;1115;22;;;
3529906;Interior;Miracatu;1869;57;;;
3530003;Interior;Mira Estrela;305;10;;;
3530102;Interior;Mirandópolis;1849;84;;;
3530201;Interior;Mirante do Paranapanema;772;23;;;
3530300;Interior;Mirassol;7453;211;;;
3530409;Interior;Mirassolândia;413;12;;;
3530508;Interior;Mococa;5091;182;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;26235;1275;;;
3530706;Interior;Mogi Guaçu;14675;432;;;
3530805;Interior;Mogi Mirim;8476;281;;;
3530904;Interior;Mombuca;362;5;;;
3531001;Interior;Monções;213;5;;;
3531100;Interior;Mongaguá;1446;71;;;
3531209;Interior;Monte Alegre do Sul;518;7;;;
3531308;Interior;Monte Alto;4479;138;;;
3531407;Interior;Monte Aprazível;2460;69;;;
3531506;Interior;Monte Azul Paulista;2005;17;;;
3531605;Interior;Monte Castelo;497;13;;;
3531704;Interior;Monteiro Lobato;216;5;;;
3531803;Interior;Monte Mor;4779;100;;;
3531902;Interior;Morro Agudo;4191;93;;;
3532009;Interior;Morungaba;880;17;;;
3532058;Interior;Motuca;327;8;;;
3532108;Interior;Murutinga do Sul;318;11;;;
3532157;Interior;Nantes;192;6;;;
3532207;Interior;Narandiba;732;20;;;
3532306;Interior;Natividade da Serra;162;6;;;
3532405;Interior;Nazaré Paulista;1309;38;;;
3532504;Interior;Neves Paulista;1157;35;;;
3532603;Interior;Nhandeara;1084;39;;;
3532702;Interior;Nipoã;418;13;;;
3532801;Interior;Nova Aliança;903;18;;;
3532827;Interior;Nova Campina;668;18;;;
3532843;Interior;Nova Canaã Paulista;183;4;;;
3532868;Interior;Nova Castilho;53;3;;;
3532900;Interior;Nova Europa;668;26;;;
3533007;Interior;Nova Granada;2596;60;;;
3533106;Interior;Nova Guataporanga;192;2;;;
3533205;Interior;Nova Independência;357;4;;;
3533254;Interior;Novais;284;10;;;
3533304;Interior;Nova Luzitânia;296;10;;;
3533403;Interior;Nova Odessa;5185;154;;;
3533502;Interior;Novo Horizonte;4741;157;;;
3533601;Interior;Nuporanga;328;9;;;
3533700;Interior;Ocauçu;326;3;;;
3533809;Interior;Óleo;89;1;;;
3533908;Interior;Olímpia;8397;213;;;
3534005;Interior;Onda Verde;757;23;;;
3534104;Interior;Oriente;295;20;;;
3534203;Interior;Orindiúva;1184;16;;;
3534302;Interior;Orlândia;3979;114;;;
3534401;RMSP (exceto capital);Osasco;37357;2154;;;
